state,date,reported_cases,predicted_infections_mean,predicted_infections_lower_CI_95,predicted_infections_higher_CI_95_cumulative,reported_deaths,estimated_deaths_mean,estimated_deaths_lower_CI_95,estimated_deaths_higher_CI_95,mean_time_varying_reproduction_number_R.t.,time_varying_reproduction_number_R.t._lower_CI_95,time_varying_reproduction_number_R.t._higher_CI_95,mean_infectious_individuals,infectious_individuals_lower_CI_95,infectious_individuals_higher_CI_95
CA,2020-03-11,33,2853.99106790266,1861.3697997218,4200.47542251572,1,1.31607094816181,0.554620482379904,2.52648737397739,2.8227843695262,2.00901315278479,3.78834551568295,8704.56232244508,5309.42722789416,13366.9687232336
CA,2020-03-12,44,3338.26783895832,2134.7563745035,4940.79183264763,1,1.53146541404507,0.684535276834657,2.8521686727816,2.78084634926735,1.99251027931788,3.72985266467643,10286.4425749714,6479.20892533724,15526.5331599589
CA,2020-03-13,61,4332.49852875259,2683.22181361731,6544.61469665597,0,1.78378532460443,0.838959004151974,3.24171437739619,3.02886438877031,2.17136963751423,4.01403995830518,12189.0550878423,7881.0867614988,18112.7577291146
CA,2020-03-14,58,4788.56349739027,2866.89377106457,7404.46561353464,1,2.07826458506687,1.04446017157778,3.6803798526856,2.79904162521148,1.98610061435019,3.75355805416049,14514.2099041938,9539.6995184074,21489.5153458968
CA,2020-03-15,86,5366.87274787206,3640.55175184662,7700.02454771779,1,2.42487916585968,1.28237330665749,4.12326806700949,2.64199073886034,1.92113096996671,3.37370530224213,17373.7638442419,11516.9388967255,25487.7336419125
CA,2020-03-16,131,6323.8578155737,4237.76962867693,9199.76892764025,1,2.83377936205164,1.58469864423849,4.64891498467851,2.61122845964578,1.91581859253612,3.31459396867547,20686.6732278398,13692.8768399378,30229.3442683348
CA,2020-03-17,141,6224.71676736928,4159.0977050441,9089.10678831984,5,3.31882480564777,1.94674801132152,5.25471332408284,2.17597159029261,1.59046391930952,2.80746693502237,24427.3616908464,16236.843606218,35543.7889317294
CA,2020-03-18,53,6492.17527470195,4258.03226458062,9633.41506984154,1,3.89448654398887,2.37588457551184,5.9891439784366,1.94111404723634,1.39151904618268,2.54252456884512,28511.1565349091,19125.5918791288,41228.9431202816
CA,2020-03-19,201,7212.91734216296,4578.60623117434,10960.1882235884,5,4.57811012346456,2.89959902072975,6.86422352148309,1.87967033436058,1.3387774191229,2.4831515032874,32612.3985760412,22119.2757156676,47070.5180679147
CA,2020-03-20,225,7151.04760170247,4344.7354016522,11134.6737447261,5,5.38691359416424,3.5606253384761,7.85822169504955,1.65509221245835,1.14839524157588,2.2300052445814,36632.843558053,25109.1457491307,52365.0289901767
CA,2020-03-21,187,7799.15220903189,4503.85564741487,12454.7581152855,1,6.3378737580584,4.33149920648264,9.07816597887864,1.62411830763249,1.12199297985449,2.22084776648038,40564.0989199391,27740.8113701003,57800.781000427
CA,2020-03-22,282,7468.95478684252,5162.74040458014,10534.2155504362,6,7.44513502499207,5.23505562082444,10.5017200066987,1.44682974813533,1.0102886919381,1.96589033748075,44313.930804228,30195.3636700254,63844.3634168259
CA,2020-03-23,462,7763.73954228453,5270.51416576255,11106.8981362817,9,8.72024205254924,6.2419599900304,12.1199962508486,1.3916114244599,0.971209414942169,1.89564478406082,47858.6951304321,32534.2075031385,69526.3909693365
CA,2020-03-24,430,8130.00619012067,5422.3747956937,11786.3756191621,11,10.1702701134818,7.36980900977551,13.9545671445124,1.36365095619897,0.948196242802931,1.86389163754154,51032.0313575849,34996.1323318521,73981.9281638705
CA,2020-03-25,460,8488.51652667056,5512.64990577513,12515.855341698,15,11.7947501780257,8.64855077304492,15.9353850595431,1.34357667625978,0.932279243772064,1.84113347960214,53895.8533908871,37303.9945505242,77286.5229799659
CA,2020-03-26,901,8992.32164226588,5640.03829933226,13664.3718069676,16,13.592022220319,10.0246831418265,18.1526236785082,1.35026295492662,0.937037412316781,1.85026595022641,56575.1625714042,39505.3811060159,80370.0933864941
CA,2020-03-27,758,9428.28063000492,5675.77595635253,14732.3457399076,13,15.5539500013827,11.5600139458517,20.6106655971693,1.34709130881611,0.934733986281507,1.84828482917812,59195.9488182729,41302.6165563636,84175.7863475846
CA,2020-03-28,438,10496.6383473687,6073.44011648753,16920.3268076423,16,17.6631801798642,13.2226026665432,23.1446607854865,1.42837124266726,0.998754395408118,1.93702414522964,61876.7940659334,43207.3777936681,87862.4483871846
CA,2020-03-29,757,9433.67146160272,6510.78951826962,13226.042220284,14,19.9119748880412,15.0058632807637,25.8888417433956,1.24895230385683,0.871096324532883,1.69133942456616,64772.2715186408,44691.1228008867,91925.1695895142
CA,2020-03-30,1286,9654.32215956661,6604.92518081982,13621.8789165863,22,22.2788662203728,16.8448503993355,28.9869035985071,1.22037600228432,0.851286515439991,1.64833903167045,67829.6093027878,46292.794772675,97188.5408419908
CA,2020-03-31,1072,9967.58153527679,6664.62496277923,14283.8093955308,27,24.7463491452093,18.7535409295552,32.062421634492,1.20890270226969,0.843046549806182,1.63679766273051,70565.6867771114,48493.3045145035,100680.871090435
CA,2020-04-01,1189,10775.1238893917,7063.55692583594,15746.7833768172,26,27.3057501165096,20.8827768787968,35.3429885577248,1.26006170310524,0.878911107102692,1.69826016152818,72954.2818814842,50452.0261481991,103051.593817592
CA,2020-04-02,1374,10865.9488879333,6891.44025860354,16341.2999623685,39,29.9311810895227,22.9631603625556,38.659980320369,1.22816592708004,0.856434285400967,1.65745106904293,75194.7241357199,52490.8601011117,105566.688800891
CA,2020-04-03,1231,11545.3299981352,7098.00598663387,17700.7269602519,27,32.6124717103136,25.154478612191,41.9839812624044,1.26092211514654,0.877805469611588,1.70184587695632,77499.8929777486,54626.8337925717,108184.438337253
CA,2020-04-04,833,12152.8299922908,7188.55481067682,19087.2106737637,24,35.3394446177873,27.2270480258164,45.3331214013652,1.28191601185648,0.898060593145394,1.72503084630207,79904.3802486322,56402.8614994424,111396.705555195
CA,2020-04-05,2197,10007.7607525405,6752.03393251119,14209.1550661181,59,38.0862346405348,29.536622007934,48.6102009042156,1.03958089039325,0.700812001138682,1.43721592137043,82542.8395979206,57772.0480165323,115986.188348683
CA,2020-04-06,985,9792.15057522653,6494.02295946901,14079.2750274446,32,40.8542490166812,31.7761966833511,52.0186660764566,0.986727295440121,0.664239081525836,1.36548903178463,85069.7828970233,58658.5763101367,120242.423648202
CA,2020-04-07,1332,9730.78743451229,6280.67251194784,14229.5889487042,52,43.6229604744014,33.9780029927806,55.335987285702,0.960423981577457,0.643486309708628,1.33038187376914,86687.6130605886,60022.3483359007,122761.352869883
