cumulative_fatalities_upper_bound,hospitalizations_lower_bound,icu_num,cumulative_cases_num,cases_lower_bound,current_hospitalizations_lower_bound,icu_upper_bound,location_id,intervention_date_id,current_icu_lower_bound,hospitalizations_num,fatalities_lower_bound,hospitalizations_upper_bound,current_icu_upper_bound,cases_num,portfolio_id,data_type,current_hospitalizations_num,cases_upper_bound,cumulative_fatalities_lower_bound,cumulative_cases_lower_bound,current_icu_num,fatalities_upper_bound,fatalities_num,icu_lower_bound,intervention_length,intervention_level,current_hospitalizations_upper_bound,future_scenario_id,cumulative_cases_upper_bound,cumulative_fatalities_num,date_str,date,scenario
7553.91,42.71,242.66,116565.45,300.33,492.3,877.6,5,2,138.42,1335.46,7.55,4224.05,4590.09,1937.84,2,,8799.05,4224.05,2580.46,56829.68,1158.51,122.77,58.37,7.96,30,1,36099.08,8,204499.9,5221.63,,2020-06-09,1-2
7647.52,45.46,256.33,118531.52,319.84,491.39,900.94,5,2,133.07,1422.23,7.33,4276.76,4696.83,1994.32,2,,9237.91,4276.76,2588.88,57139.7,1196.4,128.36,61.07,8.06,30,1,37102.38,8,208752.57,5284.33,,2020-06-10,1-2
7744.9,48.38,271.09,120556.75,340.34,493.31,922.55,5,2,128.33,1512.21,7.16,4304.29,4807.42,2057.56,2,,9714.39,4304.29,2597.44,57469.7,1239.67,135.57,64.13,8.21,30,1,38060.13,8,213045.02,5350.41,,2020-06-11,1-2
7846.69,51.48,286.92,122647.12,361.95,497.97,941.93,5,2,124.17,1605.76,7.02,4313.13,4919.37,2123.19,2,,10227.35,4313.13,2606.19,57820.75,1288.33,146.12,67.55,8.41,30,1,38952.14,8,217355.11,5420.33,,2020-06-12,1-2
7953.73,54.77,303.81,124803.77,386.33,505.3,958.97,5,2,120.6,1702.54,6.92,4385.27,5030.38,2189.74,2,,10776.43,4385.15,2615.19,58194.47,1342.39,157.64,71.34,8.65,30,1,39771.66,8,221666.07,5494.53,,2020-06-13,1-2
8066.4,58.34,321.74,127030.68,415.6,515.3,973.61,5,2,117.59,1803.92,6.86,4540.38,5138.34,2265.81,2,,11360.43,4540.28,2624.5,58595.04,1401.76,170.15,75.5,8.94,30,1,40512.9,8,225968.15,5573.46,,2020-06-14,1-2
8185.58,62.3,340.79,129337.79,451.12,528.04,986.06,5,2,115.13,1911.67,6.83,4673.78,5241.61,2348.88,2,,11980.78,4673.7,2634.18,59028.01,1466.5,183.71,80.05,9.28,30,1,41180.37,8,230259.46,5657.62,,2020-06-15,1-2
8312.21,66.78,361.1,131737.85,492.36,543.75,996.62,5,2,113.24,2027.01,6.84,4780.01,5338.97,2452.7,2,,12640.26,4779.95,2644.29,59499.87,1536.75,198.43,85.02,9.68,30,1,41781.94,8,234542.5,5747.68,,2020-06-16,1-2
8446.97,71.84,382.74,134254.32,538.91,562.63,1005.6,5,2,111.88,2151.85,6.89,4851.42,5429.88,2582.68,2,,13340.52,4851.37,2654.91,60015.17,1612.54,214.43,90.43,10.14,30,1,42327,8,238820.1,5844.1,,2020-06-17,1-2
8590.9,77.58,405.87,136906.94,590.74,585.05,1033.64,5,2,111.08,2287.99,6.97,5047.13,5513.95,2721.96,2,,14084.97,5021.46,2666.11,60579.66,1694.2,231.88,96.31,10.66,30,1,42822.68,8,243095.26,5947.66,,2020-06-18,1-2
