county,date,allbed_mean,allbed_lower,allbed_upper,ICUbed_mean,ICUbed_lower,ICUbed_upper,InvVen_mean,InvVen_lower,InvVen_upper,admis_mean,admis_lower,admis_upper,newICU_mean,newICU_lower,newICU_upper,bedover_mean,bedover_lower,bedover_upper,icuover_mean,icuover_lower,icuover_upper,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,deaths_mean_smoothed,deaths_lower_smoothed,deaths_upper_smoothed,totdea_mean_smoothed,totdea_lower_smoothed,totdea_upper_smoothed,mobility_data_type,mobility_composite,total_tests_data_type,total_tests,confirmed_infections,est_infections_mean,est_infections_lower,est_infections_upper
Georgia,2020-06-19,1204.3,671.5,2175.7,323,191,562.7,288.1,167,511.5,164.2,76,338.1,43.9,22,91.5,0,0,0,0,0,0,30.7316210158067,17.8671684915939,53.2993626990301,2517.61853636325,2398.78003535163,2687.37944037268,30.7316210158067,17.8671684915939,53.2993626990301,2517.61853636325,2398.78003535163,2687.37944037268,projected,-22.7185973029932,projected,24020.7783695289,,3438.24592687374,2050.65928933709,5788.02133269198
Georgia,2020-06-20,1219,667,2337.9,326.7,187,588.2,291.3,165,536.5,165.6,77,355.1,44,21.5,93.5,0,0,0,0,0,0,31.2385897005427,17.686170997226,55.9573251996147,2548.85712606379,2415.78532046517,2739.86401669028,31.2385897005427,17.686170997226,55.9573251996147,2548.85712606379,2415.78532046517,2739.86401669028,projected,-22.553035592132,projected,24243.1400204011,,3404.43346612848,2021.36535081621,5756.47151589766
Georgia,2020-06-21,1232.3,655.4,2431.9,330.7,184,615.6,294.8,160.5,557.6,166.2,73.5,370.7,44.6,22,96.6,0,0,0,0,0,25.6,31.6746296833405,17.429215014879,58.8500079033669,2580.53175574714,2432.73276658498,2797.56406260652,31.6746296833405,17.429215014879,58.8500079033669,2580.53175574714,2432.73276658498,2797.56406260652,projected,-22.3864661072143,projected,24465.5016712734,,3370.42746719691,1993.81469329274,5724.27788618207
Georgia,2020-06-22,1244.5,648.5,2527.7,334.4,181,648.5,298,160,588.5,167.8,77,380,45,21.5,99.5,0,0,0,0,0,58.5,32.0444205768027,17.1422710795162,62.0177917767375,2612.57617632394,2450.75241523284,2858.99738395809,32.0444205768027,17.1422710795162,62.0177917767375,2612.57617632394,2450.75241523284,2858.99738395809,projected,-22.2191615312418,projected,24687.8633221456,,3336.17807803008,1967.60324789728,5680.24298151978
Georgia,2020-06-23,1257.3,646,2636.7,338.2,178.5,675.2,301.2,158,613.6,170.2,73,390.7,45.5,21,102.5,0,0,0,0,0,85.2,32.3476690085255,16.9668076054902,65.1206524584004,2644.92384533246,2469.1607988896,2924.44137398228,32.3476690085255,16.9668076054902,65.1206524584004,2644.92384533246,2469.1607988896,2924.44137398228,projected,-22.0513621219704,projected,24910.2249730179,,3301.66161831425,1946.31749872514,5629.8444254524
Georgia,2020-06-24,1269.2,640.5,2728.2,342,175,703,304.3,156,634.1,170.3,74,408.1,45.9,21,109.5,0,0,0,0,0,113,32.6174918910129,16.8790715037195,67.8231645977919,2677.54133722348,2486.16641212139,2984.68555432067,32.6174918910129,16.8790715037195,67.8231645977919,2677.54133722348,2486.16641212139,2984.68555432067,projected,-21.8831652385359,projected,25132.5866238902,,3269.19014989897,1921.53444028329,5600.95195559375
Georgia,2020-06-25,1278.8,630,2842.6,345.7,173.5,728.1,307.6,152,659.4,171.2,70,432.5,46.2,20.5,112,0,0,0,0,0,138.2,32.8808293245405,16.7334805791325,70.4971262450419,2710.42216654802,2503.32752637585,3059.90625739704,32.8808293245405,16.7334805791325,70.4971262450419,2710.42216654802,2503.32752637585,3059.90625739704,projected,-21.7146326413598,projected,25354.9482747624,,3239.3116137451,1893.83386291773,5589.59655565396
Georgia,2020-06-26,1290,633,2990.1,349.5,171.5,764.5,310.8,151.5,691.7,173.6,71,441,46.6,20.5,118,0,0,0,0,0,174.5,33.1446256283282,16.5230565724565,72.6282888992302,2743.56679217635,2520.49313788512,3139.1659635332,33.1446256283282,16.5230565724565,72.6282888992302,2743.56679217635,2520.49313788512,3139.1659635332,projected,-21.5458265114445,projected,25577.3099256347,,3208.0936051856,1869.4822643043,5568.98222213932
Georgia,2020-06-27,1301,621,3099.2,353.1,169,794.8,313.9,151,727.1,174.7,72,453.2,47,20,120,0,0,0,0,0,204.8,33.4263582133402,16.2938560599249,75.4320667728006,2776.99315038969,2537.54704081805,3211.81218877512,33.4263582133402,16.2938560599249,75.4320667728006,2776.99315038969,2537.54704081805,3211.81218877512,projected,-21.3768093489596,projected,25799.6715765069,,3175.18594198552,1838.19766825414,5549.5413353995
Georgia,2020-06-28,1313.7,615,3208.2,356.6,167,833.7,317,149,760.1,177.1,68.5,485.1,47.3,20,127.5,0,0,0,0,0,243.7,33.7226135591818,15.9933705331902,78.9695862550514,2810.71576394887,2554.64596216389,3286.57365868263,33.7226135591818,15.9933705331902,78.9695862550514,2810.71576394887,2554.64596216389,3286.57365868263,projected,-21.2076438710057,projected,26022.0332273792,,3142.37545954642,1810.60419548047,5521.228504358
Georgia,2020-06-29,1325.5,600.9,3327.5,360,167,868,319.9,146,787.7,177.8,64.5,494.6,47.7,19,132.5,0,0,0,0,0,278,34.0211297266819,15.7015457671339,82.0895292770448,2844.73689367555,2571.87177278799,3363.76363068216,34.0211297266819,15.7015457671339,82.0895292770448,2844.73689367555,2571.87177278799,3363.76363068216,projected,-21.0383929089492,projected,26244.3948782514,,3109.62269998988,1781.1367046921,5467.59239639533
Georgia,2020-06-30,1337.3,586,3438.6,363.1,163,906.1,322.7,144,819.1,180.3,66.5,504.1,48.1,19,136,0,0,0,0,0,316.1,34.3198873178826,15.5163437473771,85.6961499685366,2879.05678099343,2588.93531524611,3443.70075117108,34.3198873178826,15.5163437473771,85.6961499685366,2879.05678099343,2588.93531524611,3443.70075117108,projected,-20.8691193057098,projected,26466.7565291237,,3076.90630907004,1754.93629394602,5444.79367987569
Georgia,2020-07-01,1348.6,569.5,3635.1,366.4,161.5,942.2,325.5,143,855.5,180.1,64.5,539.2,48.6,19,139.5,0,0,0,0,0,352.2,34.6155151068782,15.2619720526494,89.8987831843555,2913.67229610031,2604.1163005721,3535.87941676929,34.6155151068782,15.2619720526494,89.8987831843555,2913.67229610031,2604.1163005721,3535.87941676929,projected,-20.6998858133829,projected,26689.1181799959,,3045.94013870177,1726.50237092585,5433.25135469995
Georgia,2020-07-02,1362.1,554.4,3740.2,369.6,158.5,977.3,328.3,140,883.5,183.2,64,553,49.1,18.5,145,0,0,0,0,0,387.3,34.9026689734802,15.0648165899543,93.2511283533389,2948.57496507379,2619.04572928521,3631.42175228591,34.9026689734802,15.0648165899543,93.2511283533389,2948.57496507379,2619.04572928521,3631.42175228591,projected,-20.5307549915822,projected,26911.4798308682,,3017.20882181432,1701.46877211877,5425.56055566855
