date,region,index,mean,median,lower_80,upper_80,infections,positive_test_adjusted,positive_test_adjusted_raw,positive,tests,new_tests,new_cases,new_deaths
2020-05-30,GA,94,1.09739458689708,1.09564568758894,1.00018416112511,1.17398544417743,474.320742501913,468.958186305078,809.437484291112,616,4567,4567,616,29
2020-05-31,GA,95,1.10070996151856,1.0995930039004,1.00008712325026,1.18126783528121,482.490414562801,474.77766611131,393.07537947097,700,10687,10687,700,39
2020-06-01,GA,96,1.10262383828852,1.09800148185516,1.00391696390408,1.18959940483713,491.082484091915,480.944154903921,621.1462820684,632,6106,6106,632,32
2020-06-02,GA,97,1.10814579103071,1.10485634430831,1.00568746510558,1.20726448229523,500.168253152963,487.444519385439,1118.88520955755,589,2656,2656,589,28
2020-06-03,GA,98,1.11430721321435,1.10945577781465,0.985497773416945,1.19579144220256,509.693470773791,494.277038030809,489.350953919305,687,8425,8425,687,21
2020-06-04,GA,99,1.1213710218383,1.11553615765616,1.00083774507364,1.21790447725097,519.779258484951,501.45132134732,419.934245342868,953,13619,13619,953,24
2020-06-05,GA,100,1.12431683347905,1.11642664442082,1.00790604567879,1.23945055933708,530.656932875109,508.987185555455,405.418590410659,774,11457,11457,774,27
2020-06-06,GA,101,1.1298554121137,1.12288160831586,0.992893924691439,1.23429144942916,542.461235716176,516.904855427723,273.991832553066,688,15069,15069,688,0
2020-06-07,GA,102,1.13389564091138,1.12780562895758,1.00290339784583,1.25279309823733,555.079407735772,525.231783839212,207.592075263597,589,17027,17027,589,6
2020-06-08,GA,103,1.13588273554558,1.132877672635,0.997239938739266,1.25902798577709,568.501707419403,534.015093025005,378.746353938822,599,9491,9491,599,28
2020-06-09,GA,104,1.13889833517951,1.13600498356218,1.00313348895005,1.29093102639149,582.818007341736,543.318757785039,577.978452222172,752,7808,7808,752,77
2020-06-10,GA,105,1.14129259065229,1.13263150549379,0.965247735954065,1.26329171076277,597.963384569832,553.20477275209,318.532664648456,731,13772,13772,731,44
2020-06-11,GA,106,1.13932628413069,1.13300260145192,0.956817858067407,1.26222510522003,613.948966561129,563.7289180383,448.527021391305,993,13286,13286,993,46
2020-06-12,GA,107,1.142341282854,1.14274815963757,0.965802892117788,1.2708176064585,630.817169634204,574.944326742709,629.89785633371,810,7717,7717,810,43
2020-06-13,GA,108,1.14234575806824,1.13925021199347,0.955763029495694,1.27933884651741,648.368329242874,586.896472283165,791.136811124722,1018,7722,7722,1018,28
2020-06-14,GA,109,1.14249710307374,1.14748337602916,0.961050222205167,1.29661111874309,666.697602514056,599.623964981204,250.165865247175,880,21110,21110,880,5
2020-06-15,GA,110,1.14187969725239,1.14031030749941,0.955214131448688,1.30018516937625,685.928356630757,613.161487140815,453.207720325835,733,9706,9706,733,43
2020-06-16,GA,111,1.141839763056,1.14528490959905,0.92157953120762,1.27199693843813,706.013937339362,627.524507075421,889.057477334658,664,4482,4482,664,35
2020-06-17,GA,112,1.14366263655579,1.14164161974507,0.960405628267648,1.32759209221855,726.927543427538,642.723849092565,368.847785483408,952,15489,15489,952,46
2020-06-18,GA,113,1.14475485570656,1.13588520854383,0.941221652064419,1.32203114927943,748.793933011213,658.776811364548,415.56125393043,882,12737,12737,882,30
2020-06-19,GA,114,1.1427583331499,1.12956621797475,0.941560056061895,1.33575062815997,771.846775076873,675.698258929423,926.956963572769,1097,7102,7102,1097,31
2020-06-20,GA,115,1.14009849379668,1.12542254609408,0.912342019659577,1.34077136563035,796.243308869647,693.499270244989,448.627309145946,1800,24078,24078,1800,6
2020-06-21,GA,116,1.1375561855566,1.11817952365911,0.891073162322268,1.33239309320917,821.870915922981,712.198460253824,1364.5207930237,892,3923,3923,892,1
2020-06-22,GA,117,1.14015438568551,1.12338283011453,0.901171542843324,1.35539031895804,848.596451909958,731.8317492954,757.62900418304,1227,9719,9719,1227,5
2020-06-23,GA,118,1.14241052069839,1.12159021122032,0.901314009890472,1.35844085451423,876.581208764594,752.455755547537,451.990163590086,1750,23235,23235,1750,40
