model_team,pointNA,target_end_date
MIT_CovidAnalytics.DELPHI,2407,2020-06-22
MOBS_NEU.GLEAM_COVID,2465.98148141375,2020-06-22
PSI.DRAFT,2431.5,2020-06-22
USACE.ERDC_SEIR,2207.8291819749,2020-06-22
UT.Mobility,2411.70448313748,2020-06-22
Auquan.SEIR,3354,2020-06-22
CU.80contact1x10p,2424,2020-06-22
CU.80contact1x5p,2423,2020-06-22
CU.80contactw5p,2415,2020-06-22
CU.nochange,2414,2020-06-22
CU.select,2423,2020-06-22
Covid19Sim.Simulator,2315.42827420346,2020-06-22
CovidActNow.SEIR_CAN,,2020-06-22
IowaStateLW.STEM,2492,2020-06-22
JHU_IDD.CovidSP,2730.44,2020-06-22
SWC.TerminusCM,2578,2020-06-22
UA.EpiCovDA,2457,2020-06-22
UCLA.SuEIR,2470.49557401108,2020-06-22
CU.80contactw10p,2736,2020-06-22
YYG.ParamSearch,2684.0835482285,2020-06-23
LANL.GrowthRate,2525.86679159707,2020-06-23
MIT_CovidAnalytics.DELPHI,2418,2020-06-23
MOBS_NEU.GLEAM_COVID,2481.11499978953,2020-06-23
PSI.DRAFT,2457,2020-06-23
USACE.ERDC_SEIR,2223.11308987034,2020-06-23
UT.Mobility,2422.11268148064,2020-06-23
Auquan.SEIR,3396,2020-06-23
CU.80contact1x10p,2437,2020-06-23
CU.80contact1x5p,2440,2020-06-23
CU.80contactw5p,2434,2020-06-23
CU.nochange,2432,2020-06-23
CU.select,2440,2020-06-23
Covid19Sim.Simulator,2325.31635902392,2020-06-23
CovidActNow.SEIR_CAN,,2020-06-23
IowaStateLW.STEM,2503,2020-06-23
JHU_IDD.CovidSP,2771.25333333333,2020-06-23
SWC.TerminusCM,2603,2020-06-23
UA.EpiCovDA,2467,2020-06-23
UCLA.SuEIR,2485.93479933497,2020-06-23
CU.80contactw10p,2791,2020-06-23
YYG.ParamSearch,2714.25540372884,2020-06-24
LANL.GrowthRate,2544.37922530537,2020-06-24
MIT_CovidAnalytics.DELPHI,2428,2020-06-24
MOBS_NEU.GLEAM_COVID,2495.95623995751,2020-06-24
PSI.DRAFT,2484.5,2020-06-24
USACE.ERDC_SEIR,2238.11606188324,2020-06-24
UT.Mobility,2431.59256958863,2020-06-24
Auquan.SEIR,3436,2020-06-24
CU.80contact1x10p,2457,2020-06-24
CU.80contact1x5p,2457,2020-06-24
CU.80contactw5p,2455,2020-06-24
CU.nochange,2450,2020-06-24
CU.select,2457,2020-06-24
Covid19Sim.Simulator,2335.04708815662,2020-06-24
CovidActNow.SEIR_CAN,,2020-06-24
IowaStateLW.STEM,2512,2020-06-24
JHU_IDD.CovidSP,2812.35666666667,2020-06-24
SWC.TerminusCM,2627,2020-06-24
UA.EpiCovDA,2477,2020-06-24
UCLA.SuEIR,2500.93642678595,2020-06-24
CU.80contactw10p,2853,2020-06-24
YYG.ParamSearch,2744.56207702821,2020-06-25
LANL.GrowthRate,2560.84304436164,2020-06-25
MIT_CovidAnalytics.DELPHI,2438,2020-06-25
MOBS_NEU.GLEAM_COVID,2510.50485987035,2020-06-25
PSI.DRAFT,2506.5,2020-06-25
USACE.ERDC_SEIR,2252.83304325258,2020-06-25
UT.Mobility,2442.77838522203,2020-06-25
Auquan.SEIR,3472,2020-06-25
CU.80contact1x10p,2477,2020-06-25
CU.80contact1x5p,2477,2020-06-25
CU.80contactw5p,2474,2020-06-25
CU.nochange,2467,2020-06-25
CU.select,2477,2020-06-25
Covid19Sim.Simulator,2344.77859233236,2020-06-25
CovidActNow.SEIR_CAN,,2020-06-25
IowaStateLW.STEM,2519,2020-06-25
JHU_IDD.CovidSP,2853.16333333333,2020-06-25
SWC.TerminusCM,2651,2020-06-25
UA.EpiCovDA,2485,2020-06-25
UCLA.SuEIR,2515.51029568102,2020-06-25
CU.80contactw10p,2913,2020-06-25
YYG.ParamSearch,2774.99051536909,2020-06-26
LANL.GrowthRate,2577.82714971284,2020-06-26
MIT_CovidAnalytics.DELPHI,2448,2020-06-26
MOBS_NEU.GLEAM_COVID,2524.76365747523,2020-06-26
PSI.DRAFT,2521,2020-06-26
USACE.ERDC_SEIR,2267.26443870029,2020-06-26
UT.Mobility,2453.00187409165,2020-06-26
Auquan.SEIR,3506,2020-06-26
CU.80contact1x10p,2493,2020-06-26
CU.80contact1x5p,2491,2020-06-26
CU.80contactw5p,2490,2020-06-26
CU.nochange,2487,2020-06-26
CU.select,2491,2020-06-26
Covid19Sim.Simulator,2354.54767844728,2020-06-26
CovidActNow.SEIR_CAN,,2020-06-26
IowaStateLW.STEM,2527,2020-06-26
JHU_IDD.CovidSP,2894.91666666667,2020-06-26
