date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,cumulativePositiveTests,cumulativeNegativeTests,fips_char,fips
2020-04-23,9,808,3,21,2,72,1.1,0.68,0,3891,383,283912,171,166,,02020,2020
2020-04-24,9,808,3,21,2,72,1.08,0.68,0,3960,375,283845,168,168,,02020,2020
2020-04-25,9,808,3,21,2,72,1.08,0.66,0,4028,367,283778,167,168,,02020,2020
2020-04-26,9,808,3,21,2,72,1.08,0.66,0,4096,361,283710,166,168,,02020,2020
2020-04-27,8,808,3,21,2,72,1.08,0.66,0,4164,356,283642,166,171,,02020,2020
2020-04-28,8,808,2,21,1,72,1.06,0.68,0,4232,351,283573,167,175,,02020,2020
2020-04-29,8,808,2,21,1,72,1.06,0.68,0,4301,348,283503,168,179,,02020,2020
2020-04-30,8,808,2,21,1,72,1.06,0.68,0,4370,347,283432,170,179,,02020,2020
2020-05-01,8,808,2,21,1,72,1.06,0.68,0,4440,346,283360,172,185,,02020,2020
2020-05-02,8,808,2,21,1,72,1.06,0.68,0,4511,346,283286,175,185,,02020,2020
2020-05-03,8,808,2,21,1,72,1.06,0.68,0,4584,348,283210,179,187,,02020,2020
2020-05-04,8,808,2,21,1,72,1.06,0.68,0,4657,350,283133,183,189,,02020,2020
2020-05-05,8,808,2,21,1,72,1.06,0.68,0,4733,354,283052,187,190,,02020,2020
2020-05-06,8,808,2,21,1,72,1.02,0.68,0,4811,358,282970,192,190,,02020,2020
2020-05-07,7,808,2,21,1,72,1.02,0.7,0,4890,364,282884,198,191,,02020,2020
2020-05-08,7,808,2,21,1,72,1.02,0.7,0,4972,371,282797,203,194,,02020,2020
2020-05-09,8,808,2,21,1,72,1.02,0.7,0,5057,379,282708,208,194,,02020,2020
2020-05-10,8,808,2,21,1,72,1.02,0.7,0,5143,386,282617,213,194,,02020,2020
2020-05-11,8,808,2,21,1,72,1.02,0.7,0,5231,395,282524,218,195,,02020,2020
2020-05-12,8,808,2,21,1,72,1.02,0.7,0,5321,403,282430,222,196,,02020,2020
2020-05-13,8,808,2,21,1,72,1.02,0.7,0,5412,411,282333,227,196,,02020,2020
2020-05-14,8,808,2,21,1,72,1.02,0.7,0,5506,420,282235,232,199,,02020,2020
2020-05-15,8,808,2,21,1,72,1.02,0.7,0,5602,429,282134,237,200,,02020,2020
2020-05-16,8,808,2,21,1,72,1.02,0.7,0,5700,438,282031,242,202,,02020,2020
2020-05-17,8,808,2,21,1,72,1.02,0.72,0,5799,447,281927,247,204,,02020,2020
2020-05-18,8,808,2,21,1,72,1.02,0.72,0,5901,457,281820,252,206,,02020,2020
2020-05-19,9,808,2,21,1,72,1.02,0.72,0,6005,466,281711,257,206,,02020,2020
2020-05-20,9,808,3,21,2,72,1.02,0.72,0,6111,476,281599,262,207,,02020,2020
2020-05-21,9,808,3,21,2,72,1.02,0.72,0,6219,486,281486,268,207,,02020,2020
2020-05-22,9,808,3,21,2,72,1.02,0.72,0,6330,496,281370,273,207,,02020,2020
2020-05-23,9,808,3,21,2,72,1.02,0.72,0,6443,506,281251,279,207,,02020,2020
2020-05-24,9,808,3,21,2,72,1.02,0.72,0,6558,517,281131,284,207,,02020,2020
2020-05-25,10,808,3,21,2,72,1.06,0.72,0,6675,527,281008,290,207,,02020,2020
2020-05-26,10,808,3,21,2,72,1.06,0.72,0,6795,538,280882,296,210,,02020,2020
2020-05-27,10,808,3,21,2,72,1.1,0.72,0,6917,549,280754,302,210,,02020,2020
